galaxy_name,J_old_circular,J_new_visible,r_disk_kpc,v_visible_at_disk,ratio,sigma_J_frac,sigma_J_pct,sigma_J_abs,J_lower_1sigma,J_upper_1sigma,sigma_from_incl_pct,sigma_from_D_pct,inclination_deg,distance_mpc
NGC0289,3.242209e+68,5.504732e+66,6.38,211.62,0.016978,0.2196,21.96,1.2088e+66,4.295886e+66,6.713577e+66,9.07,20.00,60.0,20.8
NGC0300,1.624069e+66,3.240149e+64,4.08,51.48,0.019951,0.2196,21.96,7.1154e+63,2.528608e+64,3.951689e+64,9.07,20.00,60.0,2.08
NGC0801,5.145881e+68,6.655067e+67,17.65,246.46,0.129328,0.2196,21.96,1.4615e+67,5.193606e+67,8.116527e+67,9.07,20.00,60.0,80.7
NGC0891,3.759202e+67,7.093857e+66,3.24,361.79,0.188706,0.2196,21.96,1.5578e+66,5.536038e+66,8.651676e+66,9.07,20.00,60.0,9.91
NGC1003,1.984553e+67,2.471430e+65,6.22,76.50,0.012453,0.2196,21.96,5.4273e+64,1.928701e+65,3.014159e+65,9.07,20.00,60.0,11.4
NGC1090,5.291880e+67,4.843830e+66,8.17,171.97,0.091533,0.2196,21.96,1.0637e+66,3.780119e+66,5.907541e+66,9.07,20.00,60.0,37.0
NGC1705,1.877700e+65,1.823347e+63,1.11,46.98,0.009711,0.2196,21.96,4.0041e+62,1.422938e+63,2.223756e+63,9.07,20.00,60.0,5.73
NGC2366,6.317303e+64,3.304920e+63,2.97,29.72,0.052315,0.2196,21.96,7.2576e+62,2.579155e+63,4.030684e+63,9.07,20.00,60.0,3.27
NGC2403,1.495426e+67,2.100832e+65,3.59,104.54,0.014048,0.2196,21.96,4.6135e+64,1.639487e+65,2.562178e+65,9.07,20.00,60.0,3.16
NGC2683,5.888309e+67,6.470437e+66,5.77,238.81,0.109886,0.2196,21.96,1.4209e+66,5.049521e+66,7.891352e+66,9.07,20.00,60.0,9.81
NGC2841,1.468615e+69,1.711831e+67,7.18,285.50,0.011656,0.2196,21.96,3.7592e+66,1.335911e+67,2.087751e+67,9.07,20.00,60.0,14.1
NGC2903,5.184565e+67,2.029176e+66,2.56,278.92,0.039139,0.2196,21.96,4.4561e+65,1.583567e+66,2.474786e+66,9.07,20.00,60.0,6.6
NGC2915,9.309394e+65,4.700836e+63,2.67,35.89,0.005050,0.2196,21.96,1.0323e+63,3.668527e+63,5.733145e+63,9.07,20.00,60.0,4.06
NGC2955,2.095200e+68,3.402500e+67,8.42,322.79,0.162395,0.2196,21.96,7.4719e+66,2.655307e+67,4.149693e+67,9.07,20.00,60.0,97.9
NGC2976,4.563567e+64,1.216545e+64,1.42,75.06,0.266578,0.2196,21.96,2.6715e+63,9.493901e+63,1.483699e+64,9.07,20.00,60.0,3.58
NGC2998,2.133849e+68,2.234057e+67,12.50,215.59,0.104696,0.2196,21.96,4.9060e+66,1.743456e+67,2.724659e+67,9.07,20.00,60.0,68.1
NGC3109,1.809549e+65,2.083339e+63,3.61,22.38,0.011513,0.2196,21.96,4.5750e+62,1.625836e+63,2.540843e+63,9.07,20.00,60.0,1.33
NGC3198,9.171653e+67,1.887833e+66,6.74,142.81,0.020583,0.2196,21.96,4.1457e+65,1.473263e+66,2.302403e+66,9.07,20.00,60.0,13.8
NGC3521,3.925677e+67,2.502308e+66,2.92,273.98,0.063742,0.2196,21.96,5.4951e+65,1.952799e+66,3.051818e+66,9.07,20.00,60.0,7.7
NGC3726,7.028394e+67,3.931762e+66,6.98,178.17,0.055941,0.2196,21.96,8.6342e+65,3.068342e+66,4.795181e+66,9.07,20.00,60.0,18.0
NGC3741,9.606182e+64,5.056324e+62,3.73,13.66,0.005264,0.2196,21.96,1.1104e+62,3.945950e+62,6.166699e+62,9.07,20.00,60.0,3.21
NGC3769,2.843102e+67,4.591850e+65,3.50,137.98,0.016151,0.2196,21.96,1.0084e+65,3.583474e+65,5.600225e+65,9.07,20.00,60.0,18.0
NGC3877,8.872734e+66,5.170130e+66,6.98,195.19,0.582699,0.2196,21.96,1.1354e+66,4.034764e+66,6.305497e+66,9.07,20.00,60.0,18.0
NGC3893,2.411821e+67,3.801592e+66,5.24,213.29,0.157623,0.2196,21.96,8.3483e+65,2.966758e+66,4.636426e+66,9.07,20.00,60.0,18.0
NGC3917,8.102237e+66,9.015542e+65,6.98,109.05,0.111272,0.2196,21.96,1.9798e+65,7.035719e+65,1.099537e+66,9.07,20.00,60.0,18.0
NGC3949,3.442743e+66,1.422930e+66,3.50,201.16,0.413313,0.2196,21.96,3.1248e+65,1.110453e+66,1.735407e+66,9.07,20.00,60.0,18.0
NGC3953,3.486688e+67,1.584885e+67,8.72,244.45,0.454553,0.2196,21.96,3.4804e+66,1.236843e+67,1.932928e+67,9.07,20.00,60.0,18.0
NGC3972,2.610676e+66,4.099040e+65,5.24,101.52,0.157011,0.2196,21.96,9.0015e+64,3.198886e+65,4.999194e+65,9.07,20.00,60.0,18.0
NGC3992,4.022943e+68,4.075555e+67,13.79,246.73,0.101308,0.2196,21.96,8.9500e+66,3.180559e+67,4.970552e+67,9.07,20.00,60.0,23.7
NGC4010,2.840393e+66,3.994208e+65,5.24,100.64,0.140622,0.2196,21.96,8.7713e+64,3.117075e+65,4.871341e+65,9.07,20.00,60.0,18.0
NGC4013,6.741491e+67,4.325481e+66,5.49,215.85,0.064162,0.2196,21.96,9.4988e+65,3.375601e+66,5.275362e+66,9.07,20.00,60.0,18.0
NGC4051,7.594293e+66,4.198384e+66,6.98,182.11,0.552834,0.2196,21.96,9.2197e+65,3.276414e+66,5.120354e+66,9.07,20.00,60.0,18.0
NGC4068,5.698487e+63,1.337719e+63,1.91,29.51,0.234750,0.2196,21.96,2.9376e+62,1.043955e+63,1.631484e+63,9.07,20.00,60.0,4.37
NGC4085,1.379767e+66,6.163729e+65,3.58,149.93,0.446722,0.2196,21.96,1.3536e+65,4.810167e+65,7.517291e+65,9.07,20.00,60.0,18.0
NGC4088,3.468342e+67,1.308757e+67,6.98,266.02,0.377344,0.2196,21.96,2.8740e+66,1.021352e+67,1.596162e+67,9.07,20.00,60.0,18.0
NGC4100,2.971266e+67,2.237053e+66,5.24,178.73,0.075290,0.2196,21.96,4.9126e+65,1.745794e+66,2.728313e+66,9.07,20.00,60.0,18.0
NGC4138,1.662535e+67,1.188706e+66,2.61,230.39,0.071500,0.2196,21.96,2.6104e+65,9.276645e+65,1.449747e+66,9.07,20.00,60.0,18.0
NGC4157,7.921322e+67,5.555700e+66,5.24,242.04,0.070136,0.2196,21.96,1.2200e+66,4.335662e+66,6.775738e+66,9.07,20.00,60.0,18.0
NGC4183,9.097172e+66,3.636252e+65,6.98,80.57,0.039971,0.2196,21.96,7.9853e+64,2.837727e+65,4.434777e+65,9.07,20.00,60.0,18.0
NGC4214,2.368250e+65,3.262614e+63,1.04,59.57,0.013776,0.2196,21.96,7.1647e+62,2.546140e+63,3.979088e+63,9.07,20.00,60.0,2.87
NGC4217,2.249770e+67,3.938952e+66,3.50,282.45,0.175082,0.2196,21.96,8.6500e+65,3.073953e+66,4.803950e+66,9.07,20.00,60.0,18.0
NGC4389,5.375353e+65,5.413045e+65,3.58,143.58,1.007012,0.2196,21.96,1.1887e+65,4.224334e+65,6.601755e+65,9.07,20.00,60.0,18.0
NGC4559,1.057410e+67,7.804077e+65,5.90,116.25,0.073804,0.2196,21.96,1.7138e+65,6.090293e+65,9.517862e+65,9.07,20.00,60.0,9.0
NGC5005,3.493575e+67,9.009310e+66,4.42,318.53,0.257882,0.2196,21.96,1.9785e+66,7.030855e+66,1.098776e+67,9.07,20.00,60.0,16.9
NGC5033,2.136234e+68,5.106962e+66,3.80,291.56,0.023906,0.2196,21.96,1.1215e+66,3.985467e+66,6.228457e+66,9.07,20.00,60.0,15.7
NGC5055,2.163800e+68,9.981265e+66,5.75,276.58,0.046128,0.2196,21.96,2.1919e+66,7.789368e+66,1.217316e+67,9.07,20.00,60.0,9.9
NGC5371,2.948357e+68,8.164306e+67,14.48,301.06,0.276910,0.2196,21.96,1.7929e+67,6.371415e+67,9.957198e+67,9.07,20.00,60.0,39.7
NGC5585,1.224727e+66,5.238037e+64,4.11,60.12,0.042769,0.2196,21.96,1.1503e+64,4.087758e+64,6.388316e+64,9.07,20.00,60.0,7.06
NGC5907,3.542426e+68,1.693895e+67,10.07,227.06,0.047817,0.2196,21.96,3.7198e+66,1.321914e+67,2.065876e+67,9.07,20.00,60.0,17.3
NGC5985,3.981985e+68,2.574638e+67,12.56,225.31,0.064657,0.2196,21.96,5.6539e+66,2.009245e+67,3.140032e+67,9.07,20.00,60.0,39.7
NGC6015,4.281481e+67,1.019964e+66,4.60,150.04,0.023823,0.2196,21.96,2.2399e+65,7.959789e+65,1.243949e+66,9.07,20.00,60.0,17.0
NGC6195,2.819222e+68,4.592695e+67,11.36,292.17,0.162906,0.2196,21.96,1.0086e+67,3.584134e+67,5.601257e+67,9.07,20.00,60.0,127.8
NGC6503,1.198491e+67,2.167791e+65,2.28,142.97,0.018088,0.2196,21.96,4.7605e+64,1.691741e+65,2.643840e+65,9.07,20.00,60.0,6.26
NGC6674,1.060349e+69,3.356157e+67,12.54,246.38,0.031651,0.2196,21.96,7.3702e+66,2.619141e+67,4.093173e+67,9.07,20.00,60.0,51.2
NGC6789,1.585014e+63,4.656418e+61,0.51,23.24,0.029378,0.2196,21.96,1.0226e+61,3.633863e+61,5.678973e+61,9.07,20.00,60.0,3.52
NGC6946,2.168843e+67,2.717306e+66,4.77,203.03,0.125288,0.2196,21.96,5.9672e+65,2.120582e+66,3.314030e+66,9.07,20.00,60.0,5.52
NGC7331,2.536232e+68,1.837628e+67,4.81,381.82,0.072455,0.2196,21.96,4.0355e+66,1.434083e+67,2.241173e+67,9.07,20.00,60.0,14.7
