galaxy_name,J_old_circular,J_new_visible,r_disk_kpc,v_visible_at_disk,ratio,sigma_J_frac,sigma_J_pct,sigma_J_abs,J_lower_1sigma,J_upper_1sigma,sigma_from_incl_pct,sigma_from_D_pct,inclination_deg,distance_mpc
UGC08699,5.775973e+67,2.125888e+66,5.87,162.91,0.036806,0.2196,21.96,4.6685e+65,1.659040e+66,2.592735e+66,9.07,20.00,60.0,39.3
UGC08837,2.783735e+64,4.939029e+63,3.15,32.67,0.177425,0.2196,21.96,1.0846e+63,3.854413e+63,6.023646e+63,9.07,20.00,60.0,7.21
UGC09037,3.917516e+67,4.228689e+66,8.51,159.95,0.107943,0.2196,21.96,9.2863e+65,3.300064e+66,5.157314e+66,9.07,20.00,60.0,83.6
UGC09133,2.010246e+69,2.779565e+67,7.57,323.94,0.013827,0.2196,21.96,6.1040e+66,2.169169e+67,3.389960e+67,9.07,20.00,60.0,57.1
UGC09992,8.713391e+63,1.561676e+63,2.34,27.14,0.179227,0.2196,21.96,3.4295e+62,1.218730e+63,1.904621e+63,9.07,20.00,60.0,10.7
UGC10310,3.352902e+65,4.623025e+64,5.52,47.37,0.137881,0.2196,21.96,1.0152e+64,3.607803e+64,5.638246e+64,9.07,20.00,60.0,15.2
UGC11455,4.721721e+68,5.361745e+67,11.05,313.37,0.113555,0.2196,21.96,1.1774e+67,4.184299e+67,6.539190e+67,9.07,20.00,60.0,78.6
UGC11557,9.600716e+65,3.093341e+65,5.28,91.96,0.322199,0.2196,21.96,6.7930e+64,2.414040e+65,3.772643e+65,9.07,20.00,60.0,24.2
UGC11820,2.150887e+66,1.138749e+65,10.52,41.62,0.052943,0.2196,21.96,2.5007e+64,8.886788e+64,1.388820e+65,9.07,20.00,60.0,18.1
UGC11914,3.912120e+67,4.897110e+66,3.28,317.15,0.125178,0.2196,21.96,1.0754e+66,3.821699e+66,5.972521e+66,9.07,20.00,60.0,16.9
UGC12506,4.061809e+68,2.567288e+67,17.21,182.46,0.063206,0.2196,21.96,5.6378e+66,2.003509e+67,3.131068e+67,9.07,20.00,60.0,100.6
UGC12632,6.333914e+65,3.684909e+64,7.11,37.10,0.058177,0.2196,21.96,8.0921e+63,2.875699e+64,4.494119e+64,9.07,20.00,60.0,9.77
UGC12732,3.185116e+66,1.315176e+65,11.50,41.15,0.041291,0.2196,21.96,2.8881e+64,1.026362e+65,1.603990e+65,9.07,20.00,60.0,13.2
UGCA281,4.272865e+62,3.398677e+61,0.58,19.20,0.079541,0.2196,21.96,7.4635e+60,2.652323e+61,4.145030e+61,9.07,20.00,60.0,5.68
UGCA442,1.031237e+65,2.213415e+63,2.96,26.06,0.021464,0.2196,21.96,4.8607e+62,1.727346e+63,2.699483e+63,9.07,20.00,60.0,4.35
UGCA444,5.503064e+63,1.000159e+62,1.33,15.82,0.018175,0.2196,21.96,2.1964e+61,7.805233e+61,1.219796e+62,9.07,20.00,60.0,0.98
