ClID,fit_quality,mean_error_pct,log10_J,k_fitted,k_theory,log10_k_ratio,sig200,r200
1428.0,GOOD,45.04,72.50,1.000e-50,2.733e-50,-49.56,429.1,0.62
1452.0,GOOD,46.07,72.48,1.000e-50,2.764e-50,-49.56,422.4,0.61
137.0,GOOD,47.15,73.58,1.000e-50,1.670e-50,-49.78,698.8,1.01
446.0,BAD,105.66,73.06,1.000e-50,1.997e-50,-49.70,424.7,0.84
43.0,BAD,120.98,73.70,1.000e-50,1.444e-50,-49.84,532.7,1.16
28.0,BAD,141.75,73.73,1.000e-50,1.426e-50,-49.85,508.1,1.18
